,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
63,query_es3_16_1.q3.reads,query_es3_16_1,es3,q3.reads,"uar_[1,5]: uar",3,16,1,50701582.7605,50.7015827605,366.4344,19.706258549474057,19.706258549474057,7221.051027821397,0.0,61093268.0,63433800.2,65440517.400000006,67056636.150000006,86947924.13666667,1,1,166307010.0,468704.0,507452999000.0,0.0,10000.0,10000.0,3664344.0,3247807153800.0
64,query_es3_16_1.q4.reads,query_es3_16_1,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,1,49973141.7187,49.973141718700006,366.6879,19.993881912122653,19.993881912122653,7331.51457120424,0.0,61106231.5,63229773.4,65114287.8,66167434.3,68060348.74333334,1,1,69357623.0,467966.0,500152999000.0,0.0,10000.0,10000.0,3666879.0,3755902002655.0
65,query_es3_16_4.load.inserts,query_es3_16_4,es3,load.inserts,load,load,16,4,26274675.65139,26.274675651389998,156.38311,151.32553603288002,151.32553603288002,23664.75794723884,0.0,21710352.0,27823482.200000007,40532078.0,49674868.9,82706895.58666646,4,4,1192422926.0,9774478.0,660827000000.0,0.0,100000.0,100000.0,15638311.0,14784103439.0
66,query_es3_16_4.q1.reads,query_es3_16_4,es3,q1.reads,fixed_1: fixed_hf,1,16,4,89203092.3686,89.20309236860001,355.0,44.71532011570232,44.71532011570232,15873.938641074325,0.0,88137109.5,91631341.2,93643398.73333333,95776326.25,99441695.43666668,4,4,106532652.0,82812222.0,223636999000.0,0.0,10000.0,10000.0,3550000.0,2652495240724.0
67,query_es3_16_4.q2.reads,query_es3_16_4,es3,q2.reads,fixed_1: uar,2,16,4,70735114.6205,70.7351146205,366.1367,56.215146609102355,56.215146609102355,20582.428269472926,0.0,69083998.0,72842937.0,74909302.03333333,77613844.9,95678634.89666669,4,4,178465110.0,64337220.0,177888000000.0,0.0,10000.0,10000.0,3661367.0,3548388115212.0
68,query_es3_16_4.q3.reads,query_es3_16_4,es3,q3.reads,"uar_[1,5]: uar",3,16,4,56932816.8442,56.93281684419999,366.4776,69.8558175924891,69.8558175924891,25600.592377333185,0.0,68183427.5,72375097.2,74410852.63333333,76993420.25,95752635.03000005,4,4,177358858.0,505645.0,143152000000.0,0.0,10000.0,10000.0,3664776.0,4262444346431.0
69,query_es3_16_4.q4.reads,query_es3_16_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,4,56196022.9833,56.1960229833,366.7433,70.91092170016026,70.91092170016026,26006.105430358384,0.0,68093075.5,72091241.0,74038685.13333334,76047241.6,80052680.07666668,4,4,88149043.0,484287.0,141022000000.0,0.0,10000.0,10000.0,3667433.0,4837829681147.0
70,query_es3_16_8.load.inserts,query_es3_16_8,es3,load.inserts,load,load,16,8,37661892.03187,37.66189203187,156.38311,207.43574202344385,207.43574202344385,32439.446462783842,0.0,25825169.0,43004888.00000001,57662095.26666665,76822481.54999998,160025147.3433333,8,8,7273518421.0,10874475.0,482076999000.0,0.0,100000.0,100000.0,15638311.0,44803667393.0
71,query_es3_16_8.q1.reads,query_es3_16_8,es3,q1.reads,fixed_1: fixed_hf,1,16,8,101842137.1941,101.8421371941,355.0,78.29811284557351,78.29811284557351,27795.8300601786,0.0,100295843.0,108787163.0,113759271.06666666,118469743.9,127926071.99333334,8,8,171277937.0,85194480.0,127716999000.0,0.0,10000.0,10000.0,3550000.0,3895467667534.0
72,query_es3_16_8.q2.reads,query_es3_16_8,es3,q2.reads,fixed_1: uar,2,16,8,84824204.1101,84.8242041101,366.0785,93.69436984628848,93.69436984628848,34299.49437177452,0.0,82801779.0,91918098.6,97608431.96666667,102644449.5,116973749.76333353,8,8,219433931.0,65227119.0,106729999000.0,0.0,10000.0,10000.0,3660785.0,4919578063401.0
73,query_es3_16_8.q3.reads,query_es3_16_8,es3,q3.reads,"uar_[1,5]: uar",3,16,8,68255905.8587,68.2559058587,366.4011,116.24798019134418,116.24798019134418,42593.387814886715,0.0,80022190.0,90131164.80000001,96392934.03333333,102146214.5,117346822.72333336,8,8,214899439.0,494979.0,86023000000.0,0.0,10000.0,10000.0,3664011.0,5778882652017.0
74,query_es3_16_8.q4.reads,query_es3_16_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,8,67628780.974,67.62878097400001,366.7295,117.70660590306397,117.70660590306397,43166.4847295277,0.0,80119105.0,89673004.0,95222259.56666666,99813494.54999998,109193296.57333337,8,8,140617578.0,505087.0,84956999000.0,0.0,10000.0,10000.0,3667295.0,6472683301432.0
75,query_es3_16_16.load.inserts,query_es3_16_16,es3,load.inserts,load,load,16,16,68837387.32096,68.83738732096,156.38311,226.95550537317158,226.95550537317158,35492.00776187828,0.0,45688453.0,73980992.2,102269494.63333333,138767527.6,376039037.1299995,16,16,13281778918.0,11989780.0,440615000000.0,0.0,100000.0,100000.0,15638311.0,159099733104.0
76,query_es3_16_16.q1.reads,query_es3_16_16,es3,q1.reads,fixed_1: fixed_hf,1,16,16,193291338.056,193.291338056,356.0,82.53276550790663,82.53276550790663,29381.664520814764,0.0,191040585.0,226119059.8,243661958.93333334,257365867.44999996,284964534.53000003,16,16,348235730.0,80405243.0,121164000000.0,0.0,10000.0,10000.0,3560000.0,7205382137022.0
77,query_es3_16_16.q2.reads,query_es3_16_16,es3,q2.reads,fixed_1: uar,2,16,16,158831575.2703,158.8315752703,366.0662,100.13718794748806,100.13718794748806,36656.83987062275,0.0,156245138.5,186504420.4,203593577.8333333,217977905.7,250574201.19333336,16,16,343458174.0,60206386.0,99863000000.0,0.0,10000.0,10000.0,3660662.0,9147641054221.0
78,query_es3_16_16.q3.reads,query_es3_16_16,es3,q3.reads,"uar_[1,5]: uar",3,16,16,127046883.9683,127.0468839683,366.5129,125.17368004573446,125.17368004573446,45877.76847723427,0.0,145397952.0,179563449.60000002,196767031.26666665,211903531.09999996,244190186.38333338,16,16,363501980.0,493608.0,79888999000.0,0.0,10000.0,10000.0,3665129.0,10755945651914.0
79,query_es3_16_16.q4.reads,query_es3_16_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,16,126245627.1154,126.2456271154,366.7709,126.09068442023502,126.09068442023502,46246.39380642558,0.0,145086663.0,179011522.0,196672936.93333334,210381273.59999996,239096547.68666688,16,16,286034148.0,493665.0,79308000000.0,0.0,10000.0,10000.0,3667709.0,12044900675320.0
