,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
82,query_es2_4_16.q5.reads,query_es2_4_16,es2,q5.reads,fixed_1: v7,5,4,16,33589141.8372,33.5891418372,373.0,467.814371257485,467.814371257485,174494.7604790419,0.0,33419798.5,40357007.6,48764138.46666667,50886422.400000006,59782170.886666715,16,16,90457943.0,16156373.0,21376000000.0,0.0,10000.0,10000.0,3730000.0,1960824856051.0
83,query_es2_4_16.q6.reads,query_es2_4_16,es2,q6.reads,fixed_int: int_1,6,4,16,587856.66292,0.5878566629199999,0.0,23402.761525860053,0.0,0.0,0.0,525039.0,683044.0,780167.2,902311.0,1138074.1166666665,16,16,20788151.0,386334.0,4272999999.9999995,0.0,100000.0,0.0,0.0,2307124505824.0
84,query_es2_4_16.q7.reads,query_es2_4_16,es2,q7.reads,fixed_int: int_10,7,4,16,765137.20438,0.7651372043799999,373.0,17655.367231638418,17655.367231638418,6585451.97740113,0.0,645513.0,950931.8,1036548.6333333332,1287967.4,1631685.89,16,16,20114118.0,505293.0,5664000000.0,0.0,100000.0,100000.0,37300000.0,2375695392583.0
85,query_es2_4_16.q8.reads,query_es2_4_16,es2,q8.reads,fixed_int: int_100,8,4,16,886932.6489,0.8869326489000002,373.0,15117.16025958583,15117.16025958583,5638700.776825515,0.0,754186.5,1110372.6,1227640.0,1511048.0,1919970.0933333328,16,16,21061172.0,587731.0,6614999000.0,0.0,100000.0,100000.0,37300000.0,2467591617314.0
86,query_es2_4_16.q9.reads,query_es2_4_16,es2,q9.reads,fixed_int: int_1000,9,4,16,2194898.12667,2.19489812667,385.0,6229.75330176925,6229.75330176925,2398455.0211811615,0.0,1900131.0,2889558.6,2946943.833333333,3703753.899999995,4658241.789999996,16,16,19878012.0,1381922.0,16052000000.0,0.0,100000.0,100000.0,38500000.0,2583645075177.0
87,query_es2_4_16.q10.reads,query_es2_4_16,es2,q10.reads,fixed_int: int_10000,10,4,16,17887147.8498,17.8871478498,389.0,809.1727826642823,809.1727826642823,314768.2124564058,0.0,15879988.5,21915285.800000004,25106263.2,28440139.749999985,34630909.543333314,16,16,84435252.0,10992139.0,123583000000.0,0.0,100000.0,100000.0,38900000.0,2962761532614.0
88,query_es2_8_1.load.inserts,query_es2_8_1,es2,load.inserts,load,load,8,1,3913707.33337,3.9137073333699997,174.4612,251.880920775894,251.880920775894,43943.4476956674,0.0,3883282.5,4418465.0,4789610.966666667,5016741.2,5525044.469999999,1,1,56721638.0,2433253.0,397013000000.0,0.0,100000.0,100000.0,17446120.0,5733074913.0
89,query_es2_8_1.q1.reads,query_es2_8_1,es2,q1.reads,fixed_1: v101,1,8,1,1153854.3697,1.1538543696999999,384.0,840.689435955396,840.689435955396,322824.7434068721,0.0,1154044.0,1166626.8,1175457.8333333333,1179779.45,1193892.3066666666,1,1,1761390.0,1125623.0,11894999000.0,0.0,10000.0,10000.0,3840000.0,397861663559.0
90,query_es2_8_1.q2.reads,query_es2_8_1,es2,q2.reads,fixed_1: v41,2,8,1,1175996.5394,1.1759965393999998,383.0,825.3549026081215,825.3549026081215,316110.9276989105,0.0,1172533.5,1184976.0,1190054.6333333333,1198721.4,1211450.2266666666,1,1,1981634.0,1155619.0,12116000000.0,0.0,10000.0,10000.0,3830000.0,409756036019.0
91,query_es2_8_1.q3.reads,query_es2_8_1,es2,q3.reads,fixed_1: v17,3,8,1,1294698.95,1.29469895,381.0,751.371252535878,751.371252535878,286272.4472161695,0.0,1294191.0,1303360.2000000002,1310025.6333333333,1319893.2,1331627.7566666668,1,1,1570808.0,1272284.0,13309000000.0,0.0,10000.0,10000.0,3810000.0,421877560445.0
92,query_es2_8_1.q4.reads,query_es2_8_1,es2,q4.reads,fixed_1: v10,4,8,1,2490227.2191,2.4902272191000003,377.0,395.7418180379121,395.7418180379121,149194.66540029287,0.0,2486051.0,2500793.0,2511769.566666667,2521573.2,2553370.1866666665,1,1,3923255.0,2458602.0,25269000000.0,0.0,10000.0,10000.0,3770000.0,435192234387.0
