Patch ID,Execution,Task Name,Topology,Test,OperationsTotal,DocumentsTotal,SizeTotal,DurationTotal,OverheadTotal,ErrorsTotal,AverageLatency,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,LatencyMin,LatencyMax,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,ErrorRate
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100160,0,0,367515000000,88341216063,0,10617107.576528868,0,2993.510468960451,0,0,2704023,762314044,9891927,11044666.6,13798113.766666666,23186007.89999999,27332465.12999999,32,32,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523720395,2275702000000,1029027950086,0,17086767.269751,523.720395,439.42484560808043,439.42484560808043,230135.7537146779,5321386,1158018530,14398903,19460082.000000004,27307224.433333337,35101266,63395709.220000096,8,8,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49885,49846,0,407668000000,20008099410732,0,28899508.105141826,0,122.36672978992709,122.27106370870413,0,7202074,165190418,28847010,31093608.6,32360472.33333334,33355685.400000002,35525858.02666672,8,8,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50115,500883,373507209,407703000000,21211939685927,0,4743214.561149357,7453.002274768033,122.92036114524544,1228.5487229674543,916125.7312308225,2044850,19783037,4564813,5385800.600000001,5861843.133333336,6374902.900000003,6842677.8533333335,8,8,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100000,0,0,2683445000000,101654559098,0,19407459.063943636,0,409.9208293816344,0,0,6215687,1159033731,15617472.5,21886471.6,33899253.599999994,48403179.8,62380074.223330185,8,8,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523726844,745766000000,1118148339605,0,4790713.106635,523.726844,1340.9031787450756,1340.9031787450756,702266.9899137263,1685320,99363431,4477121,5724640.200000001,6399551.066666667,6962703.2,11578896.900000038,8,8,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49874,49833,0,225440000000,7578007295890,0,3653888.8167983317,0,221.22959545777147,221.04772888573456,0,769120,43490411,3515079.5,4517542.8,4990016.800000001,5702266.1000000015,6892520.643333353,8,8,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50126,500926,262336624,225442000000,7697849559963,0,1243422.9477516657,5233.543949247895,222.34543696383105,2221.9728355852058,1163654.6162649372,663465,33326847,909432,1920279.6,2188258.4666666673,2309645.6,2423890.383333334,8,8,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t8_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100040,0,0,971495000000,72598645474,0,6988618.693786589,0,1132.3166871677158,0,0,2538745,416520328,5739125.5,7430330,10934998.5,19120171.099999443,25047311.106666666,8,8,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523723492,1448844000000,1157839464623,0,21900280.35848,523.723492,690.2054327450022,690.2054327450022,361476.7994345837,5689601,7244558803,15975872.5,27011402.400000006,37059481.43333334,51283253.300000004,93337093.4166668,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49770,45560,0,101346000000,23327276211845,0,29371153.176351216,0,491.0899295482801,449.5490695242042,0,6599993,89692792,30145988,33150598.000000004,34551624.43333334,35584522.35,38563619.213333346,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50230,47057,35091685,101226000000,24663902307259,0,2480175.103563607,698.620047780211,496.2163870942248,464.8706853970324,346666.71606109105,1557705,34387482,2078928.5,3284639.4000000004,3516329.9333333336,3711667.1,4038068.996666667,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100000,0,0,1550204000000,143261023127,0,22405363.238368183,0,709.5840289407072,0,0,1652934,7245498078,17058961.5,29094061,36604226.16666666,50063416.34999998,90207971.67999856,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523715598,454053000000,1727383995155,0,5435364.752348,523.715598,2202.386065062889,2202.386065062889,1153423.9350912778,1718909,141948752,5138989.5,6284220.800000001,7039793,7999778.250000001,15991883.003333459,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49815,45643,0,23938000000,7349716091890,0,6361601.095734216,0,2081.0009190408555,1906.7173531623362,0,733900,39280348,6617612,7877820.800000001,8502351.066666666,9226758.200000001,13282068.220000008,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50185,47074,24653308,23942000000,7614182718593,0,1046210.9494470459,491.2485404005181,2096.107259209757,1966.1682399131234,1029709.6316097234,595517,3963283,746314,1406786.6000000003,2021358.8666666672,2248848.6000000006,3397963.3333333335,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100080,0,0,478423000000,138106639314,0,6843704.451543524,0,2299.387780269761,0,0,666095,888533990,6686384.5,8170172.8,9172434.5,10156092.799999997,17257439.139999963,16,16,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523723137,1204840000000,1230836109746,0,36826803.186654,523.723137,829.985724245543,829.985724245543,434682.72716709273,5770956,9314143029,22583626.5,43434619.00000001,66025045.83333342,89538468.5,189134573.60000056,32,32,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49625,47011,0,69104000000,38763514305011,0,40244610.77672544,0,718.1205140078722,680.2934707108127,0,9692434,119539693,40607204,44882816.800000004,46222818.53333333,47276849,49345675.080000006,32,32,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50375,48817,36404050,69098000000,40596172708417,0,3242010.410858561,722.6610421836228,729.0370198848013,706.4893339894063,526846.6525803931,1575260,48894006,2170913,5941608,6256133.266666667,6426600.3,6715512.7266666675,32,32,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100000,0,0,1273974000000,546345140346,0,36558693.38850727,0,863.4399132164393,0,0,1656267,9315095332,23561479,43240801.199999996,62621478.43333333,89342788.79999995,179451774.57999748,32,32,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t32_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523711071,384227000000,2628170555748,0,9662476.483701,523.711071,2602.628133889602,2602.628133889602,1363025.1674140547,1881745,218984989,8704838.5,11217021.200000001,14358576.566666668,16574177.850000001,27888402.79000004,32,32,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t32_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49684,47073,0,18862000000,12482606677181,0,9691896.914016584,0,2634.079100837663,2495.652634927367,0,903052,72684709,9389905.5,10810301.400000006,11799127.566666666,16046440.700000005,21748207.686666835,32,32,0
641491dd850e618884ae90a9,0,medical_workload_guid_50_50_t32_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50316,48803,25559710,18856000000,12862095263528,0,2025608.8575602195,507.98374274584626,2668.4344505727618,2588.194739075095,1355521.3194739074,610122,7247449,881213,4648752.400000002,5700890.8,6469886.100000001,6775938.943333342,32,32,0
